transcript_name,gene_name,cell_type,isoform_role,usage_direction,tx_role_mane
transcript156732.chr9.nic,CDK20,Excitatory_neuron,Minor,CT_enriched,Alternate
transcript152239.chr6.nic,CEP57L1,Excitatory_neuron,Minor,AD_enriched,Alternate
CEP97-201,CEP97,Excitatory_neuron,Dominant,CT_enriched,Canonical
CEP97-213,CEP97,Excitatory_neuron,Minor,AD_enriched,Alternate
CEROX1-201,CEROX1,Excitatory_neuron,Dominant,CT_enriched,no_MANE_coverage
transcript3776.chr16.nnic,CEROX1,Excitatory_neuron,Minor,AD_enriched,no_MANE_coverage
CFAP44-202,CFAP44,Excitatory_neuron,Dominant,AD_enriched,Canonical
transcript170749.chr3.nic,CFAP44,Excitatory_neuron,Minor,CT_enriched,Alternate
CFAP54-209,CFAP54,Excitatory_neuron,Minor,AD_enriched,Alternate
transcript220719.chr3.nic,CHCHD6,Excitatory_neuron,Dominant,CT_enriched,Alternate
CHCHD7-202,CHCHD7,Excitatory_neuron,Dominant,CT_enriched,Canonical
CHD1-205,CHD1,Excitatory_neuron,Minor,AD_enriched,Alternate
CHD1-211,CHD1,Excitatory_neuron,Dominant,CT_enriched,Canonical
CHFR-205,CHFR,Excitatory_neuron,Minor,AD_enriched,Canonical
CHFR-203,CHFR,Excitatory_neuron,Dominant,CT_enriched,Alternate
CHRNA7-201,CHRNA7,Excitatory_neuron,Minor,AD_enriched,Canonical
transcript238402.chr1.nnic,CHRNB2,Excitatory_neuron,Dominant,CT_enriched,Alternate
CHRNB2-201,CHRNB2,Excitatory_neuron,Minor,AD_enriched,Canonical
CHTOP-203,CHTOP,Excitatory_neuron,Minor,AD_enriched,Alternate
CHTOP-206,CHTOP,Excitatory_neuron,Dominant,CT_enriched,Alternate
CLASP1-202,CLASP1,Excitatory_neuron,Minor,CT_enriched,Alternate
CLCN3-208,CLCN3,Excitatory_neuron,Minor,CT_enriched,Canonical
CLCN3-205,CLCN3,Excitatory_neuron,Dominant,AD_enriched,Alternate
CLINT1-206,CLINT1,Excitatory_neuron,Dominant,CT_enriched,Alternate
CLK3-203,CLK3,Excitatory_neuron,Dominant,CT_enriched,Alternate
CLK4-208,CLK4,Excitatory_neuron,Minor,CT_enriched,Alternate
CLUH-215,CLUH,Excitatory_neuron,Dominant,CT_enriched,Canonical
transcript4788.chr17.nic,CLUH,Excitatory_neuron,Minor,AD_enriched,Alternate
transcript124585.chr16.nnic,CMIP,Excitatory_neuron,Dominant,CT_enriched,Alternate
CNOT4-201,CNOT4,Excitatory_neuron,Dominant,CT_enriched,Alternate
transcript54042.chr8.nnic,CNOT7,Excitatory_neuron,Dominant,CT_enriched,Alternate
CNOT7-201,CNOT7,Excitatory_neuron,Minor,AD_enriched,Canonical
transcript222220.chr7.nnic,CNTNAP2,Excitatory_neuron,Minor,CT_enriched,Alternate
CNTROB-202,CNTROB,Excitatory_neuron,Dominant,CT_enriched,Canonical
transcript311985.chr2.nic,COBLL1,Excitatory_neuron,Dominant,CT_enriched,Alternate
COG5-203,COG5,Excitatory_neuron,Minor,AD_enriched,Alternate
COG5-201,COG5,Excitatory_neuron,Dominant,CT_enriched,Canonical
CPNE4-213,CPNE4,Excitatory_neuron,Minor,AD_enriched,Alternate
transcript290195.chr1.nnic,CRB1,Excitatory_neuron,Minor,AD_enriched,Alternate
CRB1-209,CRB1,Excitatory_neuron,Dominant,CT_enriched,Alternate
CSNK1G1-201,CSNK1G1,Excitatory_neuron,Minor,AD_enriched,Canonical
CSNK1G1-211,CSNK1G1,Excitatory_neuron,Dominant,CT_enriched,Alternate
CTBP1-209,CTBP1,Excitatory_neuron,Minor,AD_enriched,Alternate
CTBP1-203,CTBP1,Excitatory_neuron,Dominant,CT_enriched,Canonical
transcript78832.chr18.nic,CTDP1,Excitatory_neuron,Minor,CT_enriched,Alternate
CTNNA1-243,CTNNA1,Excitatory_neuron,Minor,AD_enriched,Alternate
CTTN-210,CTTN,Excitatory_neuron,Minor,AD_enriched,Alternate
CYB561D2-205,CYB561D2,Excitatory_neuron,Minor,AD_enriched,Canonical
transcript80714.chr3.nic,CYB561D2,Excitatory_neuron,Dominant,CT_enriched,Alternate
CYBC1-214,CYBC1,Excitatory_neuron,Dominant,CT_enriched,Alternate
CYP1B1-205,CYP1B1,Excitatory_neuron,Dominant,CT_enriched,Canonical
transcript45368.chr2.nic,CYP1B1,Excitatory_neuron,Minor,AD_enriched,Alternate
DAAM1-209,DAAM1,Excitatory_neuron,Minor,CT_enriched,Alternate
DCAF11-217,DCAF11,Excitatory_neuron,Minor,AD_enriched,Alternate
DCAF13-207,DCAF13,Excitatory_neuron,Minor,AD_enriched,Alternate
DCAF5-209,DCAF5,Excitatory_neuron,Minor,AD_enriched,Alternate
DCAF5-201,DCAF5,Excitatory_neuron,Dominant,CT_enriched,Canonical
transcript164650.chr6.nnic,DCBLD1,Excitatory_neuron,Minor,AD_enriched,Alternate
DCBLD1-202,DCBLD1,Excitatory_neuron,Dominant,CT_enriched,Canonical
DCHS2-202,DCHS2,Excitatory_neuron,Minor,AD_enriched,Canonical
DCLRE1C-223,DCLRE1C,Excitatory_neuron,Dominant,CT_enriched,Alternate
transcript214326.chr4.nic,DCTD,Excitatory_neuron,Minor,AD_enriched,Alternate
transcript45335.chr9.nnic,DCTN3,Excitatory_neuron,Dominant,CT_enriched,Alternate
DDHD2-201,DDHD2,Excitatory_neuron,Dominant,CT_enriched,Canonical
DDX54-202,DDX54,Excitatory_neuron,Dominant,CT_enriched,Alternate
DDX54-201,DDX54,Excitatory_neuron,Minor,AD_enriched,Canonical
transcript290066.chr1.nic,DENND1B,Excitatory_neuron,Minor,AD_enriched,Alternate
transcript290109.chr1.nic,DENND1B,Excitatory_neuron,Minor,CT_enriched,Alternate
DENND4C-203,DENND4C,Excitatory_neuron,Dominant,CT_enriched,Alternate
DIABLO-215,DIABLO,Excitatory_neuron,Dominant,AD_enriched,Alternate
DIMT1-203,DIMT1,Excitatory_neuron,Dominant,CT_enriched,Alternate
DIMT1-201,DIMT1,Excitatory_neuron,Minor,AD_enriched,Canonical
DIS3L-211,DIS3L,Excitatory_neuron,Minor,AD_enriched,Alternate
DIS3L-202,DIS3L,Excitatory_neuron,Dominant,CT_enriched,Canonical
DISP2-201,DISP2,Excitatory_neuron,Dominant,CT_enriched,Canonical
DLAT-201,DLAT,Excitatory_neuron,Dominant,AD_enriched,Canonical
DMPK-223,DMPK,Excitatory_neuron,Minor,AD_enriched,Alternate
DMXL2-201,DMXL2,Excitatory_neuron,Dominant,CT_enriched,Alternate
transcript69536.chr18.nnic,DOK6,Excitatory_neuron,Minor,AD_enriched,Alternate
transcript69573.chr18.nic,DOK6,Excitatory_neuron,Dominant,CT_enriched,Alternate
DPY19L3-209,DPY19L3,Excitatory_neuron,Dominant,CT_enriched,Alternate
transcript90266.chr19.nic,DPY19L3,Excitatory_neuron,Minor,AD_enriched,Alternate
DRG2-203,DRG2,Excitatory_neuron,Dominant,CT_enriched,Alternate
transcript29256.chr22.nic,DUSP18,Excitatory_neuron,Minor,AD_enriched,Alternate
transcript29671.chr22.nnic,DUSP18,Excitatory_neuron,Minor,AD_enriched,Alternate
transcript338301.chr2.nic,DUSP19,Excitatory_neuron,Dominant,CT_enriched,Alternate
DUSP19-202,DUSP19,Excitatory_neuron,Minor,AD_enriched,Canonical
DUSP22-202,DUSP22,Excitatory_neuron,Dominant,AD_enriched,Canonical
DXO-210,DXO,Excitatory_neuron,Minor,AD_enriched,Alternate
DYRK1A-210,DYRK1A,Excitatory_neuron,Minor,AD_enriched,Alternate
transcript303824.chr1.nnic,DYRK3,Excitatory_neuron,Minor,CT_enriched,Alternate
ECPAS-205,ECPAS,Excitatory_neuron,Minor,AD_enriched,Alternate
ECPAS-202,ECPAS,Excitatory_neuron,Dominant,CT_enriched,Alternate
EDRF1-201,EDRF1,Excitatory_neuron,Dominant,CT_enriched,Alternate
EEF1D-254,EEF1D,Excitatory_neuron,Dominant,AD_enriched,Canonical
EFCAB14-210,EFCAB14,Excitatory_neuron,Minor,AD_enriched,Alternate
EIF3I-221,EIF3I,Excitatory_neuron,Dominant,CT_enriched,Alternate
EIF4G1-209,EIF4G1,Excitatory_neuron,Minor,CT_enriched,Alternate
transcript40222.chr1.nnic,EIF4G3,Excitatory_neuron,Minor,AD_enriched,Alternate
EIF4G3-221,EIF4G3,Excitatory_neuron,Dominant,CT_enriched,Alternate
ELP1-219,ELP1,Excitatory_neuron,Dominant,CT_enriched,Alternate
transcript54283.chr11.nic,ENSG00000254746,Excitatory_neuron,Minor,CT_enriched,no_MANE_coverage
ENST00000431681,ENSG00000291060,Excitatory_neuron,Dominant,AD_enriched,no_MANE_coverage
ENST00000381231,ENSG00000291060,Excitatory_neuron,Minor,CT_enriched,no_MANE_coverage
ENST00000609841,ENSG00000291065,Excitatory_neuron,Minor,AD_enriched,no_MANE_coverage
EPB41-221,EPB41,Excitatory_neuron,Dominant,CT_enriched,Alternate
ERCC2-204,ERCC2,Excitatory_neuron,Dominant,CT_enriched,Canonical
ERCC5-212,ERCC5,Excitatory_neuron,Minor,AD_enriched,Canonical
EXD2-202,EXD2,Excitatory_neuron,Minor,AD_enriched,Alternate
EXD2-214,EXD2,Excitatory_neuron,Dominant,CT_enriched,Canonical
FAM120A-202,FAM120A,Excitatory_neuron,Minor,CT_enriched,Alternate
FAM120A-201,FAM120A,Excitatory_neuron,Dominant,AD_enriched,Canonical
FAM135A-205,FAM135A,Excitatory_neuron,Dominant,CT_enriched,Canonical
FAM153CP-235,FAM153CP,Excitatory_neuron,Dominant,CT_enriched,no_MANE_coverage
FAM153CP-232,FAM153CP,Excitatory_neuron,Minor,AD_enriched,no_MANE_coverage
FAM161A-203,FAM161A,Excitatory_neuron,Dominant,AD_enriched,Alternate
FAM47E-209,FAM47E,Excitatory_neuron,Minor,AD_enriched,Alternate
FARP2-201,FARP2,Excitatory_neuron,Minor,AD_enriched,Canonical
FARP2-211,FARP2,Excitatory_neuron,Dominant,CT_enriched,Alternate
FAS-236,FAS,Excitatory_neuron,Minor,AD_enriched,Alternate
FAT1-208,FAT1,Excitatory_neuron,Minor,CT_enriched,Alternate
FAT1-201,FAT1,Excitatory_neuron,Dominant,AD_enriched,Canonical
transcript186405.chr10.nic,FBXL15,Excitatory_neuron,Dominant,CT_enriched,Alternate
transcript9859.chr7.nic,FBXL18,Excitatory_neuron,Dominant,CT_enriched,Alternate
FBXW11-203,FBXW11,Excitatory_neuron,Minor,AD_enriched,Alternate
FDXR-203,FDXR,Excitatory_neuron,Dominant,CT_enriched,Alternate
FECH-212,FECH,Excitatory_neuron,Minor,AD_enriched,Alternate
FGD1-201,FGD1,Excitatory_neuron,Minor,AD_enriched,Canonical
transcript58666.chrX.nic,FGD1,Excitatory_neuron,Dominant,CT_enriched,Alternate
FGF5-201,FGF5,Excitatory_neuron,Minor,AD_enriched,Canonical
FIGNL1-206,FIGNL1,Excitatory_neuron,Minor,CT_enriched,Canonical
FIGNL1-211,FIGNL1,Excitatory_neuron,Dominant,AD_enriched,Alternate
FKBP1A-204,FKBP1A,Excitatory_neuron,Minor,AD_enriched,Canonical
transcript239484.chr1.nic,FLAD1,Excitatory_neuron,Dominant,CT_enriched,Alternate
FMNL2-202,FMNL2,Excitatory_neuron,Dominant,AD_enriched,Alternate
FMNL2-201,FMNL2,Excitatory_neuron,Minor,CT_enriched,Canonical
FOXN3-211,FOXN3,Excitatory_neuron,Minor,CT_enriched,Alternate
FOXO3-201,FOXO3,Excitatory_neuron,Dominant,CT_enriched,Alternate
FOXO3-203,FOXO3,Excitatory_neuron,Minor,AD_enriched,Alternate
FOXP2-226,FOXP2,Excitatory_neuron,Minor,AD_enriched,Alternate
transcript182362.chr9.nnic,FRRS1L,Excitatory_neuron,Dominant,CT_enriched,Alternate
FRRS1L-201,FRRS1L,Excitatory_neuron,Minor,AD_enriched,Canonical
transcript160449.chr6.nic,FYN,Excitatory_neuron,Minor,AD_enriched,Alternate
GALNS-203,GALNS,Excitatory_neuron,Dominant,CT_enriched,Alternate
transcript37256.chr2.nic,GALNT14,Excitatory_neuron,Dominant,CT_enriched,Alternate
GATAD1-203,GATAD1,Excitatory_neuron,Minor,AD_enriched,Alternate
GATAD1-201,GATAD1,Excitatory_neuron,Dominant,CT_enriched,Canonical
GBAP1-213,GBAP1,Excitatory_neuron,Minor,AD_enriched,no_MANE_coverage
GEMIN4-207,GEMIN4,Excitatory_neuron,Minor,AD_enriched,Alternate
GEMIN4-201,GEMIN4,Excitatory_neuron,Dominant,CT_enriched,Canonical
GIHCG-209,GIHCG,Excitatory_neuron,Minor,AD_enriched,no_MANE_coverage
GLOD4-202,GLOD4,Excitatory_neuron,Dominant,AD_enriched,Canonical
GLYR1-201,GLYR1,Excitatory_neuron,Dominant,CT_enriched,Canonical
GNPTG-212,GNPTG,Excitatory_neuron,Dominant,CT_enriched,Alternate
GOSR2-239,GOSR2,Excitatory_neuron,Minor,AD_enriched,Alternate
GPNMB-201,GPNMB,Excitatory_neuron,Dominant,CT_enriched,Canonical
GPR108-202,GPR108,Excitatory_neuron,Minor,AD_enriched,Alternate
transcript74075.chr11.nic,GPR137,Excitatory_neuron,Dominant,CT_enriched,Alternate
GPR162-201,GPR162,Excitatory_neuron,Minor,AD_enriched,Canonical
GPR162-203,GPR162,Excitatory_neuron,Dominant,CT_enriched,Alternate
GPRASP1-201,GPRASP1,Excitatory_neuron,Dominant,CT_enriched,Alternate
transcript50500.chr9.nic,GRHPR,Excitatory_neuron,Dominant,CT_enriched,Alternate
GRM7-214,GRM7,Excitatory_neuron,Minor,CT_enriched,Alternate
GSTK1-207,GSTK1,Excitatory_neuron,Dominant,CT_enriched,Alternate
GTF3C1-201,GTF3C1,Excitatory_neuron,Dominant,CT_enriched,Canonical
GTF3C1-202,GTF3C1,Excitatory_neuron,Minor,AD_enriched,Alternate
GTPBP1-201,GTPBP1,Excitatory_neuron,Minor,AD_enriched,Canonical
GTPBP3-222,GTPBP3,Excitatory_neuron,Minor,AD_enriched,Alternate
GUCD1-204,GUCD1,Excitatory_neuron,Dominant,CT_enriched,Alternate
GUCD1-206,GUCD1,Excitatory_neuron,Minor,AD_enriched,Canonical
HDAC5-211,HDAC5,Excitatory_neuron,Minor,CT_enriched,Alternate
HDDC3-205,HDDC3,Excitatory_neuron,Dominant,CT_enriched,Alternate
HERC4-205,HERC4,Excitatory_neuron,Minor,AD_enriched,Alternate
HIVEP2-202,HIVEP2,Excitatory_neuron,Minor,AD_enriched,Canonical
HLA-A-204,HLA-A,Excitatory_neuron,Dominant,CT_enriched,Alternate
HLA-L-223,HLA-L,Excitatory_neuron,Minor,CT_enriched,no_MANE_coverage
HSD17B12-201,HSD17B12,Excitatory_neuron,Dominant,AD_enriched,Canonical
HSD17B12-203,HSD17B12,Excitatory_neuron,Minor,CT_enriched,Alternate
HSF4-215,HSF4,Excitatory_neuron,Minor,CT_enriched,Canonical
HTR5A-AS1-202,HTR5A-AS1,Excitatory_neuron,Dominant,CT_enriched,no_MANE_coverage
HYCC2-202,HYCC2,Excitatory_neuron,Dominant,CT_enriched,Alternate
IFRD1-202,IFRD1,Excitatory_neuron,Dominant,AD_enriched,Canonical
IFTAP-227,IFTAP,Excitatory_neuron,Minor,AD_enriched,Alternate
IGHMBP2-246,IGHMBP2,Excitatory_neuron,Minor,CT_enriched,Alternate
ILK-201,ILK,Excitatory_neuron,Minor,AD_enriched,Canonical
ILK-203,ILK,Excitatory_neuron,Dominant,CT_enriched,Alternate
INO80-211,INO80,Excitatory_neuron,Minor,CT_enriched,Alternate
INPP1-201,INPP1,Excitatory_neuron,Dominant,AD_enriched,Alternate
transcript149382.chrX.nic,INTS6L,Excitatory_neuron,Minor,CT_enriched,Alternate
IQSEC3-201,IQSEC3,Excitatory_neuron,Minor,AD_enriched,Alternate
IQSEC3-203,IQSEC3,Excitatory_neuron,Dominant,CT_enriched,Canonical
ITCH-214,ITCH,Excitatory_neuron,Minor,AD_enriched,Alternate
JAG2-201,JAG2,Excitatory_neuron,Minor,AD_enriched,Canonical
JAG2-202,JAG2,Excitatory_neuron,Dominant,CT_enriched,Alternate
JARID2-202,JARID2,Excitatory_neuron,Minor,AD_enriched,Alternate
JMJD6-202,JMJD6,Excitatory_neuron,Minor,AD_enriched,Canonical
KBTBD3-205,KBTBD3,Excitatory_neuron,Dominant,CT_enriched,Canonical
KCNK9-210,KCNK9,Excitatory_neuron,Minor,AD_enriched,Alternate
KCNK9-204,KCNK9,Excitatory_neuron,Dominant,CT_enriched,Alternate
KDM4B-208,KDM4B,Excitatory_neuron,Minor,AD_enriched,Alternate
KIAA2026-201,KIAA2026,Excitatory_neuron,Dominant,CT_enriched,Alternate
KIAA2026-202,KIAA2026,Excitatory_neuron,Minor,AD_enriched,Canonical
KIF5C-210,KIF5C,Excitatory_neuron,Dominant,CT_enriched,Alternate
L3MBTL1-223,L3MBTL1,Excitatory_neuron,Minor,AD_enriched,Alternate
transcript282100.chr1.nic,LAMC1,Excitatory_neuron,Minor,CT_enriched,Alternate
LAMC1-201,LAMC1,Excitatory_neuron,Dominant,AD_enriched,Canonical
LARP1B-212,LARP1B,Excitatory_neuron,Dominant,CT_enriched,Alternate
LARP4-203,LARP4,Excitatory_neuron,Dominant,CT_enriched,Canonical
LARP4-202,LARP4,Excitatory_neuron,Minor,AD_enriched,Alternate
transcript36491.chr2.nic,LCLAT1,Excitatory_neuron,Dominant,CT_enriched,Alternate
LDLRAD4-215,LDLRAD4,Excitatory_neuron,Dominant,CT_enriched,Alternate
LIG1-201,LIG1,Excitatory_neuron,Dominant,CT_enriched,Canonical
LIG4-201,LIG4,Excitatory_neuron,Minor,AD_enriched,Alternate
LINC01018-213,LINC01018,Excitatory_neuron,Dominant,CT_enriched,no_MANE_coverage
LINC02610-207,LINC02610,Excitatory_neuron,Dominant,CT_enriched,no_MANE_coverage
LRPPRC-201,LRPPRC,Excitatory_neuron,Dominant,CT_enriched,Canonical
LRRC27-201,LRRC27,Excitatory_neuron,Minor,AD_enriched,Alternate
LRRC47-201,LRRC47,Excitatory_neuron,Dominant,CT_enriched,Canonical
transcript9764.chr1.nnic,LRRC47,Excitatory_neuron,Minor,AD_enriched,Alternate
LRRC49-221,LRRC49,Excitatory_neuron,Dominant,CT_enriched,Alternate
LRRC49-201,LRRC49,Excitatory_neuron,Minor,AD_enriched,Canonical
LRRC8D-202,LRRC8D,Excitatory_neuron,Minor,AD_enriched,Alternate
transcript4577.chr12.nnic,LRTM2,Excitatory_neuron,Minor,AD_enriched,Alternate
LY6H-201,LY6H,Excitatory_neuron,Minor,AD_enriched,Canonical
transcript317173.chr1.nnic,LYPLAL1,Excitatory_neuron,Dominant,CT_enriched,Alternate
LYRM9-201,LYRM9,Excitatory_neuron,Minor,AD_enriched,Canonical
LYRM9-203,LYRM9,Excitatory_neuron,Dominant,CT_enriched,Alternate
MAN2C1-242,MAN2C1,Excitatory_neuron,Minor,AD_enriched,Alternate
MAN2C1-201,MAN2C1,Excitatory_neuron,Dominant,CT_enriched,Canonical
MAP3K21-203,MAP3K21,Excitatory_neuron,Dominant,AD_enriched,Canonical
MAP4-215,MAP4,Excitatory_neuron,Minor,AD_enriched,Alternate
MAP7-208,MAP7,Excitatory_neuron,Minor,AD_enriched,Alternate
transcript48416.chr6.nic,MAPK14,Excitatory_neuron,Dominant,CT_enriched,Alternate
MAPK8IP3-216,MAPK8IP3,Excitatory_neuron,Minor,AD_enriched,Canonical
MAPK8IP3-207,MAPK8IP3,Excitatory_neuron,Dominant,CT_enriched,Alternate
MARK2-201,MARK2,Excitatory_neuron,Dominant,CT_enriched,Alternate
MAST4-202,MAST4,Excitatory_neuron,Dominant,CT_enriched,Canonical
MCM3AP-AS1-205,MCM3AP-AS1,Excitatory_neuron,Dominant,CT_enriched,no_MANE_coverage
MCM7-208,MCM7,Excitatory_neuron,Minor,CT_enriched,Alternate
MECR-202,MECR,Excitatory_neuron,Dominant,CT_enriched,Alternate
MECR-201,MECR,Excitatory_neuron,Minor,AD_enriched,Canonical
MED1-202,MED1,Excitatory_neuron,Minor,CT_enriched,Alternate
MED1-201,MED1,Excitatory_neuron,Dominant,AD_enriched,Canonical
MED23-201,MED23,Excitatory_neuron,Minor,AD_enriched,Alternate
MED27-206,MED27,Excitatory_neuron,Dominant,CT_enriched,Alternate
MED27-201,MED27,Excitatory_neuron,Minor,AD_enriched,Canonical
METTL3-204,METTL3,Excitatory_neuron,Minor,CT_enriched,Alternate
MFF-216,MFF,Excitatory_neuron,Dominant,CT_enriched,Alternate
MFSD6-206,MFSD6,Excitatory_neuron,Dominant,AD_enriched,Alternate
MFSD6-202,MFSD6,Excitatory_neuron,Minor,CT_enriched,Canonical
MGRN1-203,MGRN1,Excitatory_neuron,Dominant,CT_enriched,Alternate
MIDEAS-206,MIDEAS,Excitatory_neuron,Minor,CT_enriched,Alternate
MIEF1-203,MIEF1,Excitatory_neuron,Minor,AD_enriched,Alternate
MIR100HG-201,MIR100HG,Excitatory_neuron,Minor,CT_enriched,no_MANE_coverage
MIR29B2CHG-210,MIR29B2CHG,Excitatory_neuron,Minor,AD_enriched,no_MANE_coverage
MIR29B2CHG-202,MIR29B2CHG,Excitatory_neuron,Dominant,CT_enriched,no_MANE_coverage
MKRN1-201,MKRN1,Excitatory_neuron,Dominant,CT_enriched,Canonical
MLIP-208,MLIP,Excitatory_neuron,Dominant,CT_enriched,Canonical
MMS19-202,MMS19,Excitatory_neuron,Minor,CT_enriched,Alternate
MPI-214,MPI,Excitatory_neuron,Dominant,CT_enriched,Alternate
MPI-213,MPI,Excitatory_neuron,Minor,AD_enriched,Alternate
MRFAP1L1-201,MRFAP1L1,Excitatory_neuron,Minor,AD_enriched,Canonical
MRFAP1L1-202,MRFAP1L1,Excitatory_neuron,Dominant,CT_enriched,Alternate
MRNIP-201,MRNIP,Excitatory_neuron,Minor,AD_enriched,Canonical
MRPS22-225,MRPS22,Excitatory_neuron,Dominant,CT_enriched,Alternate
MRRF-202,MRRF,Excitatory_neuron,Minor,AD_enriched,Canonical
MSH6-211,MSH6,Excitatory_neuron,Minor,AD_enriched,Alternate
transcript482.chrM.nnic,MT-ND5,Excitatory_neuron,Dominant,CT_enriched,no_MANE_coverage
MTA3-201,MTA3,Excitatory_neuron,Minor,CT_enriched,Canonical
MTF2-201,MTF2,Excitatory_neuron,Dominant,CT_enriched,Canonical
MTIF3-205,MTIF3,Excitatory_neuron,Minor,AD_enriched,Alternate
MTMR12-203,MTMR12,Excitatory_neuron,Dominant,CT_enriched,Canonical
MTRFR-201,MTRFR,Excitatory_neuron,Dominant,CT_enriched,Canonical
MTRFR-203,MTRFR,Excitatory_neuron,Minor,AD_enriched,Alternate
MYH9-215,MYH9,Excitatory_neuron,Minor,CT_enriched,Alternate
MYH9-201,MYH9,Excitatory_neuron,Dominant,AD_enriched,Canonical
NAT10-201,NAT10,Excitatory_neuron,Dominant,AD_enriched,Canonical
NAT10-205,NAT10,Excitatory_neuron,Minor,CT_enriched,Alternate
transcript62980.chr1.nnic,NCDN,Excitatory_neuron,Dominant,CT_enriched,Alternate
NCOA1-206,NCOA1,Excitatory_neuron,Minor,AD_enriched,Alternate
NCOA6-201,NCOA6,Excitatory_neuron,Dominant,CT_enriched,Canonical
transcript41781.chr20.nnic,NCOA6,Excitatory_neuron,Minor,AD_enriched,Alternate
NDUFAF5-201,NDUFAF5,Excitatory_neuron,Minor,AD_enriched,Alternate
NDUFAF5-202,NDUFAF5,Excitatory_neuron,Dominant,CT_enriched,Canonical
NDUFS4-201,NDUFS4,Excitatory_neuron,Dominant,CT_enriched,Canonical
NEBL-222,NEBL,Excitatory_neuron,Minor,AD_enriched,Alternate
NEBL-203,NEBL,Excitatory_neuron,Dominant,CT_enriched,Alternate
NEIL2-201,NEIL2,Excitatory_neuron,Dominant,CT_enriched,Canonical
transcript227043.chr3.nic,NEK11,Excitatory_neuron,Dominant,AD_enriched,Alternate
NEK11-202,NEK11,Excitatory_neuron,Minor,CT_enriched,Canonical
NEK9-214,NEK9,Excitatory_neuron,Dominant,CT_enriched,Alternate
NEU3-204,NEU3,Excitatory_neuron,Minor,AD_enriched,Alternate
NEU3-201,NEU3,Excitatory_neuron,Dominant,CT_enriched,Canonical
NF1-218,NF1,Excitatory_neuron,Dominant,CT_enriched,Alternate
NHLRC3-201,NHLRC3,Excitatory_neuron,Minor,CT_enriched,Alternate
NICN1-201,NICN1,Excitatory_neuron,Dominant,CT_enriched,Canonical
NLGN3-201,NLGN3,Excitatory_neuron,Minor,CT_enriched,Canonical
NME6-209,NME6,Excitatory_neuron,Minor,AD_enriched,Canonical
NNT-AS1-204,NNT-AS1,Excitatory_neuron,Dominant,CT_enriched,no_MANE_coverage
NOP14-AS1-215,NOP14-AS1,Excitatory_neuron,Dominant,CT_enriched,no_MANE_coverage
NOP14-AS1-212,NOP14-AS1,Excitatory_neuron,Minor,AD_enriched,no_MANE_coverage
transcript11015.chr1.nic,NPHP4,Excitatory_neuron,Minor,CT_enriched,Alternate
NR2F1-201,NR2F1,Excitatory_neuron,Dominant,CT_enriched,Canonical
NSD2-209,NSD2,Excitatory_neuron,Dominant,CT_enriched,Alternate
NUP58-209,NUP58,Excitatory_neuron,Minor,AD_enriched,Alternate
OFD1-202,OFD1,Excitatory_neuron,Dominant,CT_enriched,Alternate
OGFOD3-201,OGFOD3,Excitatory_neuron,Dominant,CT_enriched,Canonical
OGFOD3-206,OGFOD3,Excitatory_neuron,Minor,AD_enriched,Alternate
OGG1-206,OGG1,Excitatory_neuron,Minor,AD_enriched,Alternate
OXNAD1-203,OXNAD1,Excitatory_neuron,Dominant,CT_enriched,Alternate
OXNAD1-201,OXNAD1,Excitatory_neuron,Minor,AD_enriched,Canonical
PACS1-205,PACS1,Excitatory_neuron,Minor,AD_enriched,Alternate
PAK6-205,PAK6,Excitatory_neuron,Minor,AD_enriched,Alternate
PALS1-201,PALS1,Excitatory_neuron,Dominant,CT_enriched,Canonical
PALS1-208,PALS1,Excitatory_neuron,Minor,AD_enriched,Alternate
PARVA-204,PARVA,Excitatory_neuron,Minor,CT_enriched,Alternate
PCDHA6-201,PCDHA6,Excitatory_neuron,Minor,AD_enriched,Alternate
PCDHA6-203,PCDHA6,Excitatory_neuron,Dominant,CT_enriched,Canonical
PCDHGA6-201,PCDHGA6,Excitatory_neuron,Minor,CT_enriched,Canonical
PCDHGA6-202,PCDHGA6,Excitatory_neuron,Dominant,AD_enriched,Alternate
PDCD2-204,PDCD2,Excitatory_neuron,Minor,AD_enriched,Alternate
PDE4D-227,PDE4D,Excitatory_neuron,Minor,CT_enriched,Alternate
transcript134425.chr7.nnic,PEG10,Excitatory_neuron,Minor,AD_enriched,no_MANE_coverage
PHF6-206,PHF6,Excitatory_neuron,Minor,CT_enriched,Alternate
PIGO-214,PIGO,Excitatory_neuron,Minor,AD_enriched,Alternate
PIK3CA-208,PIK3CA,Excitatory_neuron,Dominant,CT_enriched,Alternate
PKD2L2-DT-201,PKD2L2-DT,Excitatory_neuron,Minor,AD_enriched,no_MANE_coverage
PKD2L2-DT-202,PKD2L2-DT,Excitatory_neuron,Dominant,CT_enriched,no_MANE_coverage
PKP4-202,PKP4,Excitatory_neuron,Dominant,CT_enriched,Canonical
PKP4-204,PKP4,Excitatory_neuron,Minor,AD_enriched,Alternate
PLAT-202,PLAT,Excitatory_neuron,Dominant,CT_enriched,Alternate
PLD3-201,PLD3,Excitatory_neuron,Dominant,AD_enriched,Alternate
PMM1-208,PMM1,Excitatory_neuron,Dominant,CT_enriched,Alternate
PMM1-201,PMM1,Excitatory_neuron,Minor,AD_enriched,Canonical
POMT2-202,POMT2,Excitatory_neuron,Minor,AD_enriched,Alternate
